,wind_capacity [kW],solar_capacity [kW],savings_co2 [%],savings_cost [%],total_capacity [kW],score
0,2844103.85997871,5008945.73523242,58.76303865747444,7.624593141662593,7853049.59521113,785305.6599761242
1,1814502.95464541,5720322.12270062,54.542896276237975,8.617275788244687,7534825.077346031,753483.254298237
2,1379143.29071903,6021122.7371611,48.002266645960894,7.0118191748944625,7400266.02788013,740027.1479321747
3,925568.3756319,6334508.71309555,44.41204304110485,7.7904396136212695,7260077.08872745,726008.2875242449
4,1497449.35702965,4257283.35843975,52.46609197110589,6.76254018991468,5754732.7154693995,575473.8374188757
5,2166974.2907467,2834009.84699382,58.25294828811045,4.684085929439031,5000984.13774052,500098.8541667162
6,2120572.4646742,2182551.55208552,54.172211053496454,5.40927891048909,4303124.01675972,430312.86628351745
7,2069402.68772219,1835377.06696242,56.65582362194459,3.5899682257602996,3904779.7546846103,390478.30573966034
8,1334912.59645275,2324605.61447248,48.24779096987354,3.245301874275963,3659518.21092523,365952.0416519523
9,1102564.88299861,2287106.44428856,44.6477794151014,3.6746236356471536,3389671.32728717,338967.3563852122
10,926021.12853937,1980840.38296784,42.182455372124686,2.6057240321298023,2906861.51150721,290686.2586349082
